,TL,TM,TR,ML,MM,MR,BL,BM,BR,class
0,1,1,1,1,-1,-1,1,-1,-1,
1,1,1,1,1,-1,-1,-1,1,-1,
2,1,1,1,1,-1,-1,-1,-1,1,
3,1,1,1,1,-1,-1,-1,0,0,
4,1,1,1,1,-1,-1,0,-1,0,
5,1,1,1,1,-1,-1,0,0,-1,
6,1,1,1,1,-1,0,-1,-1,0,
7,1,1,1,1,-1,0,-1,0,-1,
8,1,1,1,1,-1,0,0,-1,-1,
9,1,1,1,1,0,-1,-1,-1,0,
10,1,1,1,1,0,-1,-1,0,-1,
11,1,1,1,1,0,-1,0,-1,-1,
12,1,1,1,-1,1,-1,1,-1,-1,
13,1,1,1,-1,1,-1,-1,1,-1,
14,1,1,1,-1,1,-1,-1,-1,1,
15,1,1,1,-1,1,-1,-1,0,0,
16,1,1,1,-1,1,-1,0,-1,0,
17,1,1,1,-1,1,-1,0,0,-1,
18,1,1,1,-1,1,0,-1,-1,0,
19,1,1,1,-1,1,0,-1,0,-1,
20,1,1,1,-1,1,0,0,-1,-1,
21,1,1,1,-1,-1,1,1,-1,-1,
22,1,1,1,-1,-1,1,-1,1,-1,
23,1,1,1,-1,-1,1,-1,-1,1,
24,1,1,1,-1,-1,1,-1,0,0,
25,1,1,1,-1,-1,1,0,-1,0,
26,1,1,1,-1,-1,1,0,0,-1,
27,1,1,1,-1,-1,0,1,-1,0,
28,1,1,1,-1,-1,0,1,0,-1,
29,1,1,1,-1,-1,0,-1,1,0,
30,1,1,1,-1,-1,0,-1,0,1,
31,1,1,1,-1,-1,0,0,1,-1,
32,1,1,1,-1,-1,0,0,-1,1,
33,1,1,1,-1,-1,0,0,0,0,
34,1,1,1,-1,0,1,-1,-1,0,
35,1,1,1,-1,0,1,-1,0,-1,
36,1,1,1,-1,0,1,0,-1,-1,
37,1,1,1,-1,0,-1,1,-1,0,
38,1,1,1,-1,0,-1,1,0,-1,
39,1,1,1,-1,0,-1,-1,1,0,
40,1,1,1,-1,0,-1,-1,0,1,
41,1,1,1,-1,0,-1,0,1,-1,
42,1,1,1,-1,0,-1,0,-1,1,
43,1,1,1,-1,0,-1,0,0,0,
44,1,1,1,-1,0,0,1,-1,-1,
45,1,1,1,-1,0,0,-1,1,-1,
46,1,1,1,-1,0,0,-1,-1,1,
47,1,1,1,-1,0,0,-1,0,0,
48,1,1,1,-1,0,0,0,-1,0,
49,1,1,1,-1,0,0,0,0,-1,
50,1,1,1,0,1,-1,-1,-1,0,
51,1,1,1,0,1,-1,-1,0,-1,
52,1,1,1,0,1,-1,0,-1,-1,
53,1,1,1,0,-1,1,-1,-1,0,
54,1,1,1,0,-1,1,-1,0,-1,
55,1,1,1,0,-1,1,0,-1,-1,
56,1,1,1,0,-1,-1,1,-1,0,
57,1,1,1,0,-1,-1,1,0,-1,
58,1,1,1,0,-1,-1,-1,1,0,
59,1,1,1,0,-1,-1,-1,0,1,
60,1,1,1,0,-1,-1,0,1,-1,
61,1,1,1,0,-1,-1,0,-1,1,
62,1,1,1,0,-1,-1,0,0,0,
63,1,1,1,0,-1,0,1,-1,-1,
64,1,1,1,0,-1,0,-1,1,-1,
65,1,1,1,0,-1,0,-1,-1,1,
66,1,1,1,0,-1,0,-1,0,0,
67,1,1,1,0,-1,0,0,-1,0,
68,1,1,1,0,-1,0,0,0,-1,
69,1,1,1,0,0,-1,1,-1,-1,
70,1,1,1,0,0,-1,-1,1,-1,
71,1,1,1,0,0,-1,-1,-1,1,
72,1,1,1,0,0,-1,-1,0,0,
73,1,1,1,0,0,-1,0,-1,0,
74,1,1,1,0,0,-1,0,0,-1,
75,1,1,1,0,0,0,-1,-1,0,
76,1,1,1,0,0,0,-1,0,-1,
77,1,1,1,0,0,0,0,-1,-1,
78,1,1,-1,1,1,-1,-1,-1,1,
79,1,1,-1,1,-1,1,1,-1,-1,
80,1,1,-1,1,-1,-1,1,-1,1,
81,1,1,-1,1,-1,-1,1,0,0,
82,1,1,-1,1,-1,0,1,-1,0,
83,1,1,-1,1,-1,0,1,0,-1,
84,1,1,-1,1,0,-1,1,-1,0,
85,1,1,-1,1,0,0,1,-1,-1,
86,1,1,-1,-1,1,1,-1,1,-1,
87,1,1,-1,-1,1,1,-1,-1,1,
88,1,1,-1,-1,1,-1,1,-1,1,
89,1,1,-1,-1,1,-1,-1,1,1,
90,1,1,-1,-1,1,-1,0,1,0,
91,1,1,-1,-1,1,-1,0,0,1,
92,1,1,-1,-1,1,0,-1,1,0,
93,1,1,-1,-1,1,0,-1,0,1,
94,1,1,-1,-1,1,0,0,1,-1,
95,1,1,-1,-1,1,0,0,-1,1,
96,1,1,-1,0,1,-1,-1,1,0,
97,1,1,-1,0,1,-1,-1,0,1,
98,1,1,-1,0,1,-1,0,-1,1,
99,1,1,-1,0,1,0,-1,1,-1,
100,1,1,-1,0,1,0,-1,-1,1,
101,1,1,0,1,-1,-1,1,-1,0,
102,1,1,0,1,-1,-1,1,0,-1,
103,1,1,0,1,-1,0,1,-1,-1,
104,1,1,0,1,0,-1,1,-1,-1,
105,1,1,0,-1,1,-1,-1,1,0,
106,1,1,0,-1,1,-1,-1,0,1,
107,1,1,0,-1,1,-1,0,1,-1,
108,1,1,0,-1,1,-1,0,-1,1,
109,1,1,0,-1,1,0,-1,1,-1,
110,1,1,0,-1,1,0,-1,-1,1,
111,1,1,0,0,1,-1,-1,1,-1,
112,1,1,0,0,1,-1,-1,-1,1,
113,1,-1,1,1,1,-1,1,-1,-1,
114,1,-1,1,1,1,-1,-1,-1,1,
115,1,-1,1,1,-1,-1,1,1,-1,
116,1,-1,1,1,-1,-1,1,0,0,
117,1,-1,1,1,-1,0,1,0,-1,
118,1,-1,1,1,0,-1,1,-1,0,
119,1,-1,1,1,0,-1,1,0,-1,
120,1,-1,1,1,0,0,1,-1,-1,
121,1,-1,1,-1,1,1,1,-1,-1,
122,1,-1,1,-1,1,1,-1,-1,1,
123,1,-1,1,-1,1,-1,1,1,-1,
124,1,-1,1,-1,1,-1,1,-1,1,
125,1,-1,1,-1,1,-1,1,0,0,
126,1,-1,1,-1,1,-1,-1,1,1,
127,1,-1,1,-1,1,-1,0,0,1,
128,1,-1,1,-1,1,0,1,-1,0,
129,1,-1,1,-1,1,0,1,0,-1,
130,1,-1,1,-1,1,0,-1,0,1,
131,1,-1,1,-1,1,0,0,-1,1,
132,1,-1,1,-1,-1,1,-1,1,1,
133,1,-1,1,-1,-1,1,0,0,1,
134,1,-1,1,-1,0,1,-1,0,1,
135,1,-1,1,-1,0,1,0,-1,1,
136,1,-1,1,0,1,-1,1,-1,0,
137,1,-1,1,0,1,-1,1,0,-1,
138,1,-1,1,0,1,-1,-1,0,1,
139,1,-1,1,0,1,-1,0,-1,1,
140,1,-1,1,0,1,0,1,-1,-1,
141,1,-1,1,0,1,0,-1,-1,1,
142,1,-1,1,0,-1,1,-1,0,1,
143,1,-1,1,0,0,1,-1,-1,1,
144,1,-1,-1,1,1,1,1,-1,-1,
145,1,-1,-1,1,1,1,-1,1,-1,
146,1,-1,-1,1,1,1,-1,-1,1,
147,1,-1,-1,1,1,1,-1,0,0,
148,1,-1,-1,1,1,1,0,-1,0,
149,1,-1,-1,1,1,1,0,0,-1,
150,1,-1,-1,1,1,-1,1,-1,1,
151,1,-1,-1,1,1,-1,1,0,0,
152,1,-1,-1,1,1,-1,-1,1,1,
153,1,-1,-1,1,1,-1,0,0,1,
154,1,-1,-1,1,1,0,1,-1,0,
155,1,-1,-1,1,1,0,1,0,-1,
156,1,-1,-1,1,1,0,-1,0,1,
157,1,-1,-1,1,1,0,0,-1,1,
158,1,-1,-1,1,-1,1,1,1,-1,
159,1,-1,-1,1,-1,1,1,0,0,
160,1,-1,-1,1,-1,-1,1,1,1,
161,1,-1,-1,1,-1,0,1,1,0,
162,1,-1,-1,1,-1,0,1,0,1,
163,1,-1,-1,1,0,1,1,-1,0,
164,1,-1,-1,1,0,1,1,0,-1,
165,1,-1,-1,1,0,-1,1,1,0,
166,1,-1,-1,1,0,-1,1,0,1,
167,1,-1,-1,1,0,0,1,1,-1,
168,1,-1,-1,1,0,0,1,-1,1,
169,1,-1,-1,1,0,0,1,0,0,
170,1,-1,-1,-1,1,1,1,-1,1,
171,1,-1,-1,-1,1,1,-1,1,1,
172,1,-1,-1,-1,1,1,0,0,1,
173,1,-1,-1,-1,1,-1,1,1,1,
174,1,-1,-1,-1,1,0,1,0,1,
175,1,-1,-1,-1,1,0,0,1,1,
176,1,-1,-1,-1,-1,1,1,1,1,
177,1,-1,-1,-1,0,0,1,1,1,
178,1,-1,-1,0,1,1,-1,0,1,
179,1,-1,-1,0,1,1,0,-1,1,
180,1,-1,-1,0,1,-1,1,0,1,
181,1,-1,-1,0,1,-1,0,1,1,
182,1,-1,-1,0,1,0,1,-1,1,
183,1,-1,-1,0,1,0,-1,1,1,
184,1,-1,-1,0,1,0,0,0,1,
185,1,-1,-1,0,-1,0,1,1,1,
186,1,-1,-1,0,0,-1,1,1,1,
187,1,-1,0,1,1,1,-1,-1,0,
188,1,-1,0,1,1,1,-1,0,-1,
189,1,-1,0,1,1,1,0,-1,-1,
190,1,-1,0,1,1,-1,1,-1,0,
191,1,-1,0,1,1,-1,1,0,-1,
192,1,-1,0,1,1,-1,-1,0,1,
193,1,-1,0,1,1,-1,0,-1,1,
194,1,-1,0,1,1,0,1,-1,-1,
195,1,-1,0,1,1,0,-1,-1,1,
196,1,-1,0,1,-1,1,1,0,-1,
197,1,-1,0,1,-1,-1,1,1,0,
198,1,-1,0,1,-1,-1,1,0,1,
199,1,-1,0,1,-1,0,1,1,-1,
200,1,-1,0,1,-1,0,1,0,0,
201,1,-1,0,1,0,1,1,-1,-1,
202,1,-1,0,1,0,-1,1,1,-1,
203,1,-1,0,1,0,-1,1,-1,1,
204,1,-1,0,1,0,-1,1,0,0,
205,1,-1,0,1,0,0,1,-1,0,
206,1,-1,0,1,0,0,1,0,-1,
207,1,-1,0,-1,1,1,-1,0,1,
208,1,-1,0,-1,1,1,0,-1,1,
209,1,-1,0,-1,1,-1,1,0,1,
210,1,-1,0,-1,1,-1,0,1,1,
211,1,-1,0,-1,1,0,1,-1,1,
212,1,-1,0,-1,1,0,-1,1,1,
213,1,-1,0,-1,1,0,0,0,1,
214,1,-1,0,-1,-1,0,1,1,1,
215,1,-1,0,-1,0,-1,1,1,1,
216,1,-1,0,0,1,1,-1,-1,1,
217,1,-1,0,0,1,-1,1,-1,1,
218,1,-1,0,0,1,-1,-1,1,1,
219,1,-1,0,0,1,-1,0,0,1,
220,1,-1,0,0,1,0,-1,0,1,
221,1,-1,0,0,1,0,0,-1,1,
222,1,-1,0,0,-1,-1,1,1,1,
223,1,0,1,1,-1,-1,1,-1,0,
224,1,0,1,1,-1,-1,1,0,-1,
225,1,0,1,1,-1,0,1,-1,-1,
226,1,0,1,1,0,-1,1,-1,-1,
227,1,0,1,-1,1,-1,1,-1,0,
228,1,0,1,-1,1,-1,1,0,-1,
229,1,0,1,-1,1,-1,-1,0,1,
230,1,0,1,-1,1,-1,0,-1,1,
231,1,0,1,-1,1,0,1,-1,-1,
232,1,0,1,-1,1,0,-1,-1,1,
233,1,0,1,-1,-1,1,-1,0,1,
234,1,0,1,-1,-1,1,0,-1,1,
235,1,0,1,-1,0,1,-1,-1,1,
236,1,0,1,0,1,-1,1,-1,-1,
237,1,0,1,0,1,-1,-1,-1,1,
238,1,0,1,0,-1,1,-1,-1,1,
239,1,0,-1,1,1,1,-1,-1,0,
240,1,0,-1,1,1,1,-1,0,-1,
241,1,0,-1,1,1,1,0,-1,-1,
242,1,0,-1,1,1,-1,1,-1,0,
243,1,0,-1,1,1,-1,-1,0,1,
244,1,0,-1,1,1,-1,0,-1,1,
245,1,0,-1,1,1,0,1,-1,-1,
246,1,0,-1,1,1,0,-1,-1,1,
247,1,0,-1,1,-1,1,1,-1,0,
248,1,0,-1,1,-1,1,1,0,-1,
249,1,0,-1,1,-1,-1,1,1,0,
250,1,0,-1,1,-1,-1,1,0,1,
251,1,0,-1,1,-1,0,1,1,-1,
252,1,0,-1,1,-1,0,1,-1,1,
253,1,0,-1,1,-1,0,1,0,0,
254,1,0,-1,1,0,1,1,-1,-1,
255,1,0,-1,1,0,-1,1,-1,1,
256,1,0,-1,1,0,-1,1,0,0,
257,1,0,-1,1,0,0,1,-1,0,
258,1,0,-1,1,0,0,1,0,-1,
259,1,0,-1,-1,1,1,-1,0,1,
260,1,0,-1,-1,1,1,0,-1,1,
261,1,0,-1,-1,1,-1,1,0,1,
262,1,0,-1,-1,1,-1,0,1,1,
263,1,0,-1,-1,1,0,1,-1,1,
264,1,0,-1,-1,1,0,-1,1,1,
265,1,0,-1,-1,1,0,0,0,1,
266,1,0,-1,-1,-1,0,1,1,1,
267,1,0,-1,-1,0,-1,1,1,1,
268,1,0,-1,0,1,1,-1,-1,1,
269,1,0,-1,0,1,-1,1,-1,1,
270,1,0,-1,0,1,-1,-1,1,1,
271,1,0,-1,0,1,-1,0,0,1,
272,1,0,-1,0,1,0,-1,0,1,
273,1,0,-1,0,1,0,0,-1,1,
274,1,0,-1,0,-1,-1,1,1,1,
275,1,0,0,1,1,-1,1,-1,-1,
276,1,0,0,1,1,-1,-1,-1,1,
277,1,0,0,1,-1,1,1,-1,-1,
278,1,0,0,1,-1,-1,1,1,-1,
279,1,0,0,1,-1,-1,1,-1,1,
280,1,0,0,1,-1,-1,1,0,0,
281,1,0,0,1,-1,0,1,-1,0,
282,1,0,0,1,-1,0,1,0,-1,
283,1,0,0,1,0,-1,1,-1,0,
284,1,0,0,1,0,-1,1,0,-1,
285,1,0,0,1,0,0,1,-1,-1,
286,1,0,0,-1,1,1,-1,-1,1,
287,1,0,0,-1,1,-1,1,-1,1,
288,1,0,0,-1,1,-1,-1,1,1,
289,1,0,0,-1,1,-1,0,0,1,
290,1,0,0,-1,1,0,-1,0,1,
291,1,0,0,-1,1,0,0,-1,1,
292,1,0,0,0,1,-1,-1,0,1,
293,1,0,0,0,1,-1,0,-1,1,
294,1,0,0,0,1,0,-1,-1,1,
295,-1,1,1,1,1,-1,1,-1,-1,
296,-1,1,1,1,1,-1,-1,1,-1,
297,-1,1,1,1,-1,1,-1,-1,1,
298,-1,1,1,-1,1,1,1,-1,-1,
299,-1,1,1,-1,1,-1,1,1,-1,
300,-1,1,1,-1,1,-1,1,-1,1,
301,-1,1,1,-1,1,-1,1,0,0,
302,-1,1,1,-1,1,-1,0,1,0,
303,-1,1,1,-1,1,0,1,-1,0,
304,-1,1,1,-1,1,0,1,0,-1,
305,-1,1,1,-1,1,0,0,1,-1,
306,-1,1,1,-1,-1,1,1,-1,1,
307,-1,1,1,-1,-1,1,0,0,1,
308,-1,1,1,-1,0,1,0,-1,1,
309,-1,1,1,0,1,-1,1,-1,0,
310,-1,1,1,0,1,-1,1,0,-1,
311,-1,1,1,0,1,-1,-1,1,0,
312,-1,1,1,0,1,-1,0,1,-1,
313,-1,1,1,0,1,0,1,-1,-1,
314,-1,1,1,0,1,0,-1,1,-1,
315,-1,1,1,0,-1,1,-1,0,1,
316,-1,1,1,0,-1,1,0,-1,1,
317,-1,1,1,0,0,1,-1,-1,1,
318,-1,1,-1,1,1,1,1,-1,-1,
319,-1,1,-1,1,1,1,-1,1,-1,
320,-1,1,-1,1,1,1,-1,-1,1,
321,-1,1,-1,1,1,1,-1,0,0,
322,-1,1,-1,1,1,1,0,-1,0,
323,-1,1,-1,1,1,1,0,0,-1,
324,-1,1,-1,1,1,-1,-1,1,1,
325,-1,1,-1,1,1,-1,0,1,0,
326,-1,1,-1,1,1,0,-1,1,0,
327,-1,1,-1,1,1,0,0,1,-1,
328,-1,1,-1,1,-1,-1,1,1,1,
329,-1,1,-1,-1,1,1,1,1,-1,
330,-1,1,-1,-1,1,1,0,1,0,
331,-1,1,-1,-1,1,-1,1,1,1,
332,-1,1,-1,-1,1,0,1,1,0,
333,-1,1,-1,-1,1,0,0,1,1,
334,-1,1,-1,-1,-1,1,1,1,1,
335,-1,1,-1,-1,0,0,1,1,1,
336,-1,1,-1,0,1,1,-1,1,0,
337,-1,1,-1,0,1,1,0,1,-1,
338,-1,1,-1,0,1,-1,1,1,0,
339,-1,1,-1,0,1,-1,0,1,1,
340,-1,1,-1,0,1,0,1,1,-1,
341,-1,1,-1,0,1,0,-1,1,1,
342,-1,1,-1,0,1,0,0,1,0,
343,-1,1,-1,0,-1,0,1,1,1,
344,-1,1,-1,0,0,-1,1,1,1,
345,-1,1,0,1,1,1,-1,-1,0,
346,-1,1,0,1,1,1,-1,0,-1,
347,-1,1,0,1,1,1,0,-1,-1,
348,-1,1,0,1,1,-1,-1,1,0,
349,-1,1,0,1,1,-1,0,1,-1,
350,-1,1,0,1,1,0,-1,1,-1,
351,-1,1,0,-1,1,1,0,1,-1,
352,-1,1,0,-1,1,-1,1,1,0,
353,-1,1,0,-1,1,-1,0,1,1,
354,-1,1,0,-1,1,0,1,1,-1,
355,-1,1,0,-1,1,0,0,1,0,
356,-1,1,0,-1,-1,0,1,1,1,
357,-1,1,0,-1,0,-1,1,1,1,
358,-1,1,0,0,1,1,-1,1,-1,
359,-1,1,0,0,1,-1,1,1,-1,
360,-1,1,0,0,1,-1,-1,1,1,
361,-1,1,0,0,1,-1,0,1,0,
362,-1,1,0,0,1,0,-1,1,0,
363,-1,1,0,0,1,0,0,1,-1,
364,-1,1,0,0,-1,-1,1,1,1,
365,-1,-1,1,1,1,1,1,-1,-1,
366,-1,-1,1,1,1,1,-1,1,-1,
367,-1,-1,1,1,1,1,-1,-1,1,
368,-1,-1,1,1,1,1,-1,0,0,
369,-1,-1,1,1,1,1,0,-1,0,
370,-1,-1,1,1,1,1,0,0,-1,
371,-1,-1,1,1,1,-1,1,1,-1,
372,-1,-1,1,1,1,-1,1,-1,1,
373,-1,-1,1,1,1,-1,1,0,0,
374,-1,-1,1,1,1,0,1,-1,0,
375,-1,-1,1,1,1,0,1,0,-1,
376,-1,-1,1,1,-1,1,-1,1,1,
377,-1,-1,1,1,-1,1,0,0,1,
378,-1,-1,1,1,-1,-1,1,1,1,
379,-1,-1,1,1,0,1,-1,0,1,
380,-1,-1,1,1,0,1,0,-1,1,
381,-1,-1,1,-1,1,1,1,1,-1,
382,-1,-1,1,-1,1,1,1,-1,1,
383,-1,-1,1,-1,1,1,1,0,0,
384,-1,-1,1,-1,1,1,0,0,1,
385,-1,-1,1,-1,1,-1,1,1,1,
386,-1,-1,1,-1,1,0,1,1,0,
387,-1,-1,1,-1,1,0,1,0,1,
388,-1,-1,1,-1,-1,1,1,1,1,
389,-1,-1,1,-1,0,1,1,0,1,
390,-1,-1,1,-1,0,1,0,1,1,
391,-1,-1,1,-1,0,0,1,1,1,
392,-1,-1,1,0,1,1,1,-1,0,
393,-1,-1,1,0,1,1,1,0,-1,
394,-1,-1,1,0,1,1,-1,0,1,
395,-1,-1,1,0,1,1,0,-1,1,
396,-1,-1,1,0,1,-1,1,1,0,
397,-1,-1,1,0,1,-1,1,0,1,
398,-1,-1,1,0,1,0,1,1,-1,
399,-1,-1,1,0,1,0,1,-1,1,
400,-1,-1,1,0,1,0,1,0,0,
401,-1,-1,1,0,-1,1,1,0,1,
402,-1,-1,1,0,-1,1,0,1,1,
403,-1,-1,1,0,-1,0,1,1,1,
404,-1,-1,1,0,0,1,1,-1,1,
405,-1,-1,1,0,0,1,-1,1,1,
406,-1,-1,1,0,0,1,0,0,1,
407,-1,-1,1,0,0,-1,1,1,1,
408,-1,-1,0,1,1,1,1,-1,0,
409,-1,-1,0,1,1,1,1,0,-1,
410,-1,-1,0,1,1,1,-1,1,0,
411,-1,-1,0,1,1,1,-1,0,1,
412,-1,-1,0,1,1,1,0,1,-1,
413,-1,-1,0,1,1,1,0,-1,1,
414,-1,-1,0,1,1,1,0,0,0,
415,-1,-1,0,1,-1,0,1,1,1,
416,-1,-1,0,1,0,-1,1,1,1,
417,-1,-1,0,-1,1,0,1,1,1,
418,-1,-1,0,-1,0,1,1,1,1,
419,-1,-1,0,0,1,-1,1,1,1,
420,-1,-1,0,0,-1,1,1,1,1,
421,-1,-1,0,0,0,0,1,1,1,
422,-1,0,1,1,1,1,-1,-1,0,
423,-1,0,1,1,1,1,-1,0,-1,
424,-1,0,1,1,1,1,0,-1,-1,
425,-1,0,1,1,1,-1,1,-1,0,
426,-1,0,1,1,1,-1,1,0,-1,
427,-1,0,1,1,1,0,1,-1,-1,
428,-1,0,1,1,-1,1,-1,0,1,
429,-1,0,1,1,-1,1,0,-1,1,
430,-1,0,1,1,0,1,-1,-1,1,
431,-1,0,1,-1,1,1,1,-1,0,
432,-1,0,1,-1,1,1,1,0,-1,
433,-1,0,1,-1,1,1,0,-1,1,
434,-1,0,1,-1,1,-1,1,1,0,
435,-1,0,1,-1,1,-1,1,0,1,
436,-1,0,1,-1,1,0,1,1,-1,
437,-1,0,1,-1,1,0,1,-1,1,
438,-1,0,1,-1,1,0,1,0,0,
439,-1,0,1,-1,-1,1,1,0,1,
440,-1,0,1,-1,-1,1,0,1,1,
441,-1,0,1,-1,-1,0,1,1,1,
442,-1,0,1,-1,0,1,1,-1,1,
443,-1,0,1,-1,0,1,0,0,1,
444,-1,0,1,-1,0,-1,1,1,1,
445,-1,0,1,0,1,1,1,-1,-1,
446,-1,0,1,0,1,1,-1,-1,1,
447,-1,0,1,0,1,-1,1,1,-1,
448,-1,0,1,0,1,-1,1,-1,1,
449,-1,0,1,0,1,-1,1,0,0,
450,-1,0,1,0,1,0,1,-1,0,
451,-1,0,1,0,1,0,1,0,-1,
452,-1,0,1,0,-1,1,1,-1,1,
453,-1,0,1,0,-1,1,-1,1,1,
454,-1,0,1,0,-1,1,0,0,1,
455,-1,0,1,0,-1,-1,1,1,1,
456,-1,0,1,0,0,1,-1,0,1,
457,-1,0,1,0,0,1,0,-1,1,
458,-1,0,-1,1,1,1,1,-1,0,
459,-1,0,-1,1,1,1,1,0,-1,
460,-1,0,-1,1,1,1,-1,1,0,
461,-1,0,-1,1,1,1,-1,0,1,
462,-1,0,-1,1,1,1,0,1,-1,
463,-1,0,-1,1,1,1,0,-1,1,
464,-1,0,-1,1,1,1,0,0,0,
465,-1,0,-1,1,-1,0,1,1,1,
466,-1,0,-1,1,0,-1,1,1,1,
467,-1,0,-1,-1,1,0,1,1,1,
468,-1,0,-1,-1,0,1,1,1,1,
469,-1,0,-1,0,1,-1,1,1,1,
470,-1,0,-1,0,-1,1,1,1,1,
471,-1,0,-1,0,0,0,1,1,1,
472,-1,0,0,1,1,1,1,-1,-1,
473,-1,0,0,1,1,1,-1,1,-1,
474,-1,0,0,1,1,1,-1,-1,1,
475,-1,0,0,1,1,1,-1,0,0,
476,-1,0,0,1,1,1,0,-1,0,
477,-1,0,0,1,1,1,0,0,-1,
478,-1,0,0,1,-1,-1,1,1,1,
479,-1,0,0,-1,1,-1,1,1,1,
480,-1,0,0,-1,-1,1,1,1,1,
481,-1,0,0,-1,0,0,1,1,1,
482,-1,0,0,0,-1,0,1,1,1,
